interval_no,interval_name,myr_bin_name,myr_bin_no
686,Middle Tithonian,Jurassic 6,35
976,Puaroan,Jurassic 6,35
936,Oteke,Jurassic 6,35
687,Early Tithonian,Jurassic 6,35
124,Tithonian,Jurassic 6,35
689,Early Kimmeridgian,Jurassic 5,34
688,Late Kimmeridgian,Jurassic 5,34
978,Heterian,Jurassic 5,34
692,Early Oxfordian,Jurassic 5,34
691,Middle Oxfordian,Jurassic 5,34
690,Late Oxfordian,Jurassic 5,34
485,Early Callovian,Jurassic 5,34
483,Late Callovian,Jurassic 5,34
484,Middle Callovian,Jurassic 5,34
125,Kimmeridgian,Jurassic 5,34
126,Oxfordian,Jurassic 5,34
127,Callovian,Jurassic 5,34
695,Early Bathonian,Jurassic 4,33
694,Middle Bathonian,Jurassic 4,33
693,Late Bathonian,Jurassic 4,33
528,Sauzei,Jurassic 4,33
524,Parkinsoni,Jurassic 4,33
529,Laeviuscula,Jurassic 4,33
525,Garantiana,Jurassic 4,33
530,Discites,Jurassic 4,33
486,Late Bajocian,Jurassic 4,33
526,Subfurcatum,Jurassic 4,33
495,Epizigzagiceras,Jurassic 4,33
496,Rotundum,Jurassic 4,33
497,Oblatum,Jurassic 4,33
487,Early Bajocian,Jurassic 4,33
498,Kirschneri,Jurassic 4,33
499,Crassicostatus,Jurassic 4,33
527,Humphresianum,Jurassic 4,33
500,Widebayense,Jurassic 4,33
128,Bathonian,Jurassic 4,33
129,Bajocian,Jurassic 4,33
501,Howelli,Jurassic 3,32
533,Opalinum,Jurassic 3,32
502,Scissum,Jurassic 3,32
503,Westermanni,Jurassic 3,32
698,Early Aalenian,Jurassic 3,32
531,Concavum,Jurassic 3,32
697,Middle Aalenian,Jurassic 3,32
532,Murchisonae,Jurassic 3,32
696,Late Aalenian,Jurassic 3,32
505,Hillebrandti,Jurassic 3,32
537,Bifrons,Jurassic 3,32
506,Crassicosta,Jurassic 3,32
534,Levesquei,Jurassic 3,32
535,Thouarsense,Jurassic 3,32
489,Middle Toarcian,Jurassic 3,32
504,Yakounensis,Jurassic 3,32
536,Variabilis,Jurassic 3,32
488,Late Toarcian,Jurassic 3,32
507,Planulata,Jurassic 3,32
538,Falciferum,Jurassic 3,32
539,Tenuicostatum,Jurassic 3,32
490,Early Toarcian,Jurassic 3,32
508,Kanense,Jurassic 3,32
130,Aalenian,Jurassic 3,32
131,Toarcian,Jurassic 3,32
491,Late Pliensbachian,Jurassic 2,31
542,Davoei,Jurassic 2,31
543,Ibex,Jurassic 2,31
544,Jamesoni,Jurassic 2,31
540,Spinatum,Jurassic 2,31
492,Early Pliensbachian,Jurassic 2,31
509,Carlottense,Jurassic 2,31
541,Margaritatus,Jurassic 2,31
510,Kunae,Jurassic 2,31
511,Freboldi,Jurassic 2,31
512,Whiteavesi,Jurassic 2,31
513,Imlayi,Jurassic 2,31
132,Pliensbachian,Jurassic 2,31
547,Obtusum,Jurassic 1,30
493,Late Sinemurian,Jurassic 1,30
548,Turneri,Jurassic 1,30
549,Semicostatum,Jurassic 1,30
981,Aratauran,Jurassic 1,30
517,Arnioceras arnouldi,Jurassic 1,30
545,Raricostatum,Jurassic 1,30
550,Bucklandi,Jurassic 1,30
494,Early Sinemurian,Jurassic 1,30
546,Oxynotum,Jurassic 1,30
519,Canadensis,Jurassic 1,30
515,Plesechioceras harbledownense,Jurassic 1,30
516,Asteroceras varians,Jurassic 1,30
518,Coroniceras,Jurassic 1,30
551,Angulata,Jurassic 1,30
700,Middle Hettangian,Jurassic 1,30
699,Late Hettangian,Jurassic 1,30
552,Liasicus,Jurassic 1,30
520,Pseudaetomoceras,Jurassic 1,30
553,Planorbis,Jurassic 1,30
701,Early Hettangian,Jurassic 1,30
523,Psiloceras,Jurassic 1,30
521,Franziceras,Jurassic 1,30
522,Euphyllites,Jurassic 1,30
133,Sinemurian,Jurassic 1,30
134,Hettangian,Jurassic 1,30
1101,Misikella ultima,Triassic 4,29
1102,Misikella rhaetica,Triassic 4,29
939,Balfour,Triassic 4,29
1103,Misikella posthernsteini-hernsteini,Triassic 4,29
1104,Misikella bidentata-posthernsteini,Triassic 4,29
982,Otapirian,Triassic 4,29
983,Warepan,Triassic 4,29
702,Sevatian,Triassic 4,29
984,Otamitan,Triassic 4,29
703,Alaunian,Triassic 4,29
704,Lacian,Triassic 4,29
135,Rhaetian,Triassic 4,29
136,Norian,Triassic 4,29
705,Tuvalian,Triassic 3,28
985,Oretian,Triassic 3,28
706,Julian,Triassic 3,28
137,Carnian,Triassic 3,28
1050,Bukobayian,Triassic 2,27
1051,Donguzian,Triassic 2,27
707,Longobardian,Triassic 2,27
708,Fassanian,Triassic 2,27
987,Etalian,Triassic 2,27
710,Pelsonian,Triassic 2,27
711,Bithynian,Triassic 2,27
712,Aegean,Triassic 2,27
709,Illyrian,Triassic 2,27
45,Middle Triassic,Triassic 2,27
138,Ladinian,Triassic 2,27
139,Anisian,Triassic 2,27
140,Spathian,Triassic 1,26
1055,Sludkian,Triassic 1,26
141,Nammalian,Triassic 1,26
1056,Rybinskian,Triassic 1,26
989,Nelsonian,Triassic 1,26
1052,Gamian,Triassic 1,26
1057,Vokhmian,Triassic 1,26
1048,Yarengian,Triassic 1,26
1053,Fedorovkian,Triassic 1,26
713,Smithian,Triassic 1,26
1049,Vetlugian,Triassic 1,26
1054,Ustmylian,Triassic 1,26
142,Griesbachian,Triassic 1,26
714,Dienerian,Triassic 1,26
46,Early Triassic,Triassic 1,26
652,Olenekian,Triassic 1,26
653,Induan,Triassic 1,26
990,Makarewan,Permian 4,25
852,Vyatkian,Permian 4,25
1061,Early Severodvinian,Permian 4,25
913,Chhidru,Permian 4,25
475,Dewey Lake,Permian 4,25
47,Zechstein,Permian 4,25
991,Waiitian,Permian 4,25
906,Pamirian,Permian 4,25
1105,Meishanian,Permian 4,25
1059,Early Vyatkian,Permian 4,25
992,Puruhauan,Permian 4,25
1106,Baoqingian,Permian 4,25
477,Salado,Permian 4,25
478,Castile,Permian 4,25
1107,Laoshanian,Permian 4,25
914,Kalabagh,Permian 4,25
144,Longtanian,Permian 4,25
476,Rustler,Permian 4,25
1108,Laibinian,Permian 4,25
473,Kupferschiefer,Permian 4,25
472,Zechsteinkalk,Permian 4,25
771,Lopingian,Permian 4,25
715,Changhsingian,Permian 4,25
716,Wuchiapingian,Permian 4,25
993,Flettian,Permian 3,24
917,Lengwuan,Permian 3,24
479,Capitan,Permian 3,24
466,Ohre,Permian 3,24
467,Aller,Permian 3,24
916,Amb,Permian 3,24
907,Murgabian,Permian 3,24
468,Leine,Permian 3,24
1062,Late Urzhumian,Permian 3,24
469,Stassfurt Evaporites,Permian 3,24
1063,Early Urzhumian,Permian 3,24
994,Barettian,Permian 3,24
854,Urzhumian,Permian 3,24
918,Kuhfengian,Permian 3,24
470,Hauptdolomitstinkschiefer,Permian 3,24
480,Word,Permian 3,24
908,Kubergandian,Permian 3,24
1047,Biarmian,Permian 3,24
1064,Late Kazanian,Permian 3,24
1065,Early Kazanian,Permian 3,24
905,Kazanian,Permian 3,24
855,Povolzhian,Permian 3,24
856,Sokian,Permian 3,24
772,Guadalupian,Permian 3,24
145,Capitanian,Permian 3,24
146,Wordian,Permian 3,24
717,Roadian,Permian 3,24
1067,Solikamskian,Permian 2,23
857,Irenian,Permian 2,23
858,Filipovian,Permian 2,23
474,Weissliegendes,Permian 2,23
909,Bolorian,Permian 2,23
859,Saranian,Permian 2,23
919,Luodianian,Permian 2,23
910,Yakhtashian,Permian 2,23
471,Werra,Permian 2,23
1066,Sheshmian,Permian 2,23
147,Ufimian,Permian 2,23
995,Mangapirian,Permian 2,23
861,Irginian,Permian 2,23
862,Burtsevian,Permian 2,23
860,Sarginian,Permian 2,23
996,Telfordian,Permian 2,23
148,Kungurian,Permian 2,23
149,Artinskian,Permian 2,23
921,Zisongian,Permian 1,22
863,Sterlitamakian,Permian 1,22
911,Khoridzhian,Permian 1,22
864,Tastubian,Permian 1,22
912,Sebisurkhian,Permian 1,22
894,Bursumian,Permian 1,22
849,Autunian,Permian 1,22
895,Mapingian,Permian 1,22
850,Lebach,Permian 1,22
865,Shikhanian,Permian 1,22
866,Uskalykian,Permian 1,22
867,Sjuranian,Permian 1,22
150,Sakmarian,Permian 1,22
151,Asselian,Permian 1,22
445,Stephanian,Carboniferous 5,21
774,Late Pennsylvanian,Carboniferous 5,21
456,Virgilian,Carboniferous 5,21
868,Melekhovian,Carboniferous 5,21
896,Xiaodushanian,Carboniferous 5,21
851,Kuzel,Carboniferous 5,21
152,Noginian,Carboniferous 5,21
153,Klazminskian,Carboniferous 5,21
448,Stephanian C,Carboniferous 5,21
869,Pavlovoposadian,Carboniferous 5,21
870,Rusavkian,Carboniferous 5,21
154,Dorogovilovian,Carboniferous 5,21
457,Missourian,Carboniferous 5,21
449,Stephanian B,Carboniferous 5,21
450,Stephanian A,Carboniferous 5,21
155,Khamovnichean,Carboniferous 5,21
156,Krevyakian,Carboniferous 5,21
49,Gzhelian,Carboniferous 5,21
50,Kasimovian,Carboniferous 5,21
157,Myachkovian,Carboniferous 4,20
446,Westphalian,Carboniferous 4,20
775,Middle Pennsylvanian,Carboniferous 4,20
452,Westphalian D,Carboniferous 4,20
158,Podolskian,Carboniferous 4,20
459,Atokan,Carboniferous 4,20
872,Tsninian,Carboniferous 4,20
159,Kashirian,Carboniferous 4,20
453,Westphalian C,Carboniferous 4,20
160,Vereian,Carboniferous 4,20
454,Westphalian B,Carboniferous 4,20
161,Melekesian,Carboniferous 4,20
875,Krasnopolyanian,Carboniferous 4,20
776,Early Pennsylvanian,Carboniferous 4,20
898,Huashibanian,Carboniferous 4,20
166,Alportian,Carboniferous 4,20
455,Westphalian A,Carboniferous 4,20
162,Cheremshanian,Carboniferous 4,20
876,Voznesenian,Carboniferous 4,20
899,Luosuan,Carboniferous 4,20
460,Morrowan,Carboniferous 4,20
167,Chokierian,Carboniferous 4,20
163,Yeadonian,Carboniferous 4,20
873,Prikarnian,Carboniferous 4,20
164,Marsdenian,Carboniferous 4,20
874,Severokeltmenian,Carboniferous 4,20
165,Kinderscoutian,Carboniferous 4,20
51,Moscovian,Carboniferous 4,20
52,Bashkirian,Carboniferous 4,20
880,Tarussian,Carboniferous 3,19
900,Dewunian,Carboniferous 3,19
777,Late Mississippian,Carboniferous 3,19
168,Arnsbergian,Carboniferous 3,19
878,Protvian,Carboniferous 3,19
169,Pendleian,Carboniferous 3,19
879,Steshevian,Carboniferous 3,19
170,Brigantian,Carboniferous 3,19
881,Venevian,Carboniferous 3,19
901,Shangsian,Carboniferous 3,19
171,Asbian,Carboniferous 3,19
882,Mikhailovian,Carboniferous 3,19
53,Serpukhovian,Carboniferous 3,19
902,Jiusian,Carboniferous 2,18
884,Tulian,Carboniferous 2,18
172,Holkerian,Carboniferous 2,18
883,Aleksian,Carboniferous 2,18
885,Bobrikovian,Carboniferous 2,18
173,Arundian,Carboniferous 2,18
886,Radaevian,Carboniferous 2,18
174,Chadian,Carboniferous 2,18
175,Ivorian,Carboniferous 1,17
903,Tangbagouan,Carboniferous 1,17
779,Early Mississippian,Carboniferous 1,17
888,Kizolovian,Carboniferous 1,17
399,Pilton,Carboniferous 1,17
893,Gumerovian,Carboniferous 1,17
889,Cherepetsian,Carboniferous 1,17
464,Kinderhookian,Carboniferous 1,17
176,Hastarian,Carboniferous 1,17
890,Karakubian,Carboniferous 1,17
891,Upinian,Carboniferous 1,17
892,Malevian,Carboniferous 1,17
55,Tournaisian,Carboniferous 1,17
418,Hemberg,Devonian 5,16
400,Baggy,Devonian 5,16
432,Conewangoan,Devonian 5,16
419,Nehden,Devonian 5,16
410,Famennien,Devonian 5,16
401,Upcott,Devonian 5,16
433,Conneaut,Devonian 5,16
402,Pickwell Down,Devonian 5,16
434,Canadaway,Devonian 5,16
1068,Late Famennian,Devonian 5,16
416,Wocklum,Devonian 5,16
417,Dasberg,Devonian 5,16
1069,Middle Famennian,Devonian 5,16
1070,Early Famennian,Devonian 5,16
177,Famennian,Devonian 5,16
436,Sonyea,Devonian 4,15
435,West Falls,Devonian 4,15
1071,Late Frasnian,Devonian 4,15
1072,Middle Frasnian,Devonian 4,15
1073,Early Frasnian,Devonian 4,15
178,Frasnian,Devonian 4,15
404,Ilfracombe,Devonian 3,14
1076,Late Givetian,Devonian 3,14
1078,Early Givetian,Devonian 3,14
438,Taghanic,Devonian 3,14
1077,Middle Givetian,Devonian 3,14
439,Tioughnioga,Devonian 3,14
421,Givet,Devonian 3,14
412,Givetien,Devonian 3,14
426,Srbsko,Devonian 3,14
440,Cazenovian,Devonian 3,14
422,Eifel,Devonian 3,14
427,Chotec,Devonian 3,14
441,Southwood,Devonian 3,14
405,Hangman,Devonian 3,14
179,Givetian,Devonian 3,14
180,Eifelian,Devonian 3,14
1074,Late Emsian,Devonian 2,13
423,Ems,Devonian 2,13
442,Sawkill,Devonian 2,13
429,Zlichovian,Devonian 2,13
443,Deer Park,Devonian 2,13
1075,Early Emsian,Devonian 2,13
181,Emsian,Devonian 2,13
424,Siegen,Devonian 1,12
415,Gedinnine,Devonian 1,12
425,Gedinne,Devonian 1,12
408,Ditton,Devonian 1,12
59,Pridoli,Silurian 2,12
60,Ludlow,Silurian 2,12
61,Wenlock,Silurian 2,12
182,Pragian,Devonian 1,12
183,Lochkovian,Devonian 1,12
784,unnamed Pridoli stage,Silurian 2,11
62,Llandovery,Silurian 1,10
3001,Pridoli,Silurian 2,11
184,Ludfordian,Silurian 2,11
185,Gorstian,Silurian 2,11
785,Homerian,Silurian 2,11
188,Sheinwoodian,Silurian 2,11
189,Telychian,Silurian 1,10
190,Aeronian,Silurian 1,10
191,Rhuddanian,Silurian 1,10
381,Pridolischichten,Silurian 2,11
386,Burgsvik,Silurian 2,11
839,Ohesaare,Silurian 2,11
368,Temeside Shales,Silurian 2,11
382,Kopaninaschichten,Silurian 2,11
387,Eke,Silurian 2,11
784,unnamed Pridoli stage,Silurian 2,11
840,Kaugetuma,Silurian 2,11
369,Downton Castle,Silurian 2,11
388,Hemse,Silurian 2,11
841,Kuressaare,Silurian 2,11
370,Whitcliffe,Silurian 2,11
384,Sundre,Silurian 2,11
1095,Kuimov,Silurian 2,11
842,Paadla,Silurian 2,11
1091,Salina,Silurian 2,11
371,Leintwardine,Silurian 2,11
394,Cayugan,Silurian 2,11
385,Hamra,Silurian 2,11
367,Red Downtonian,Silurian 2,11
372,Bringewood,Silurian 2,11
373,Elton,Silurian 2,11
843,Rootsikula,Silurian 2,11
374,Wenlock (England),Silurian 2,11
186,Gleedonian,Silurian 2,11
375,Tickwood,Silurian 2,11
1096,Chagyrka,Silurian 2,11
187,Whitwellian,Silurian 2,11
1098,Polaty,Silurian 1,10
378,Woolhope,Silurian 1,10
397,Ontarian,Silurian 1,10
1099,Syrovaty,Silurian 1,10
379,Wych,Silurian 1,10
393,Lower Visby,Silurian 1,10
846,Adavere,Silurian 1,10
1094,Medina,Silurian 1,10
398,Alexandrian,Silurian 1,10
1100,Vtorye Utesy,Silurian 1,10
847,Raikkula,Silurian 1,10
848,Juuru,Silurian 1,10
